outcome,change_type,event_week,coef,se,ci_low,ci_high,pval,estimated,baseline_week,ci_level,cluster_level,estimator
utlz_within_25,region_and_workmode,5,0.05308941862907547,0.059109286270523115,-0.06276434875186966,0.16894318601002062,0.36910447375165334,True,-1,0.95,hex,PanelOLS hex+date FE event-study
utlz_within_25,region_and_workmode,6,-0.035577807558635745,0.11680680718253474,-0.2645182925765498,0.19336267745927832,0.7606816673771633,True,-1,0.95,hex,PanelOLS hex+date FE event-study
utlz_within_25,region_and_workmode,7,,,,,,False,-1,0.95,hex,PanelOLS hex+date FE event-study
utlz_within_25,region_and_workmode,8,,,,,,False,-1,0.95,hex,PanelOLS hex+date FE event-study
utlz_within_25,region_only,-8,0.02113561674017936,0.02798356347644951,-0.033712053266020184,0.0759832867463789,0.4500792976527319,True,-1,0.95,hex,PanelOLS hex+date FE event-study
utlz_within_25,region_only,-7,0.016570713947091035,0.03921015131285273,-0.0602810223198213,0.09342245021400336,0.6725789697478457,True,-1,0.95,hex,PanelOLS hex+date FE event-study
utlz_within_25,region_only,-6,0.06727558559178486,0.039116107943588295,-0.009391826055854882,0.1439429972394246,0.08545575352326074,True,-1,0.95,hex,PanelOLS hex+date FE event-study
utlz_within_25,region_only,-5,0.060562140839366375,0.038105629689006236,-0.014124737560518845,0.1352490192392516,0.11199181934703106,True,-1,0.95,hex,PanelOLS hex+date FE event-study
utlz_within_25,region_only,-4,0.05941904082792525,0.03734222024938444,-0.013771558191414596,0.1326096398472651,0.11156822467125838,True,-1,0.95,hex,PanelOLS hex+date FE event-study
utlz_within_25,region_only,-3,0.0037477609703890622,0.03759218471500372,-0.06993276737961306,0.07742828932039118,0.92058656775331,True,-1,0.95,hex,PanelOLS hex+date FE event-study
utlz_within_25,region_only,-2,0.036954080172206624,0.03515314659886183,-0.031945943441889516,0.10585410378630276,0.29315589190635305,True,-1,0.95,hex,PanelOLS hex+date FE event-study
utlz_within_25,region_only,0,0.029780782834770328,0.05410905226753372,-0.07627273839084145,0.1358343040603821,0.5820573428491023,True,-1,0.95,hex,PanelOLS hex+date FE event-study
utlz_within_25,region_only,1,-0.023828804058024948,0.07601301171344677,-0.17281399624575983,0.12515638812970992,0.7539144433022029,True,-1,0.95,hex,PanelOLS hex+date FE event-study
utlz_within_25,region_only,2,0.062216544879137414,0.07937986339010047,-0.09336766282984557,0.2178007525881204,0.4331702638271584,True,-1,0.95,hex,PanelOLS hex+date FE event-study
utlz_within_25,region_only,3,0.01346545021436868,0.05646788039353209,-0.09721136449439727,0.12414226492313463,0.8115233529719299,True,-1,0.95,hex,PanelOLS hex+date FE event-study
utlz_within_25,region_only,4,-0.006341513089903844,0.0693453600948845,-0.1422581353651979,0.1295751091853902,0.9271366564116039,True,-1,0.95,hex,PanelOLS hex+date FE event-study
utlz_within_25,region_only,5,-0.10749617154826847,0.06302353275383413,-0.23102203808118152,0.01602969498464457,0.08807719848355666,True,-1,0.95,hex,PanelOLS hex+date FE event-study
utlz_within_25,region_only,6,0.17761687141334628,0.18078608821987638,-0.1767231223740903,0.5319568652007829,0.32587165428352205,True,-1,0.95,hex,PanelOLS hex+date FE event-study
utlz_within_25,region_only,7,,,,,,False,-1,0.95,hex,PanelOLS hex+date FE event-study
utlz_within_25,region_only,8,,,,,,False,-1,0.95,hex,PanelOLS hex+date FE event-study
utlz_within_25,workmode_only,-8,0.01177919250972254,0.017619828869082376,-0.022755489037636866,0.04631387405708194,0.5038039474789435,True,-1,0.95,hex,PanelOLS hex+date FE event-study
utlz_within_25,workmode_only,-7,-0.001917545218723455,0.023887312673268914,-0.04873642991521861,0.044901339477771696,0.9360190078719319,True,-1,0.95,hex,PanelOLS hex+date FE event-study
utlz_within_25,workmode_only,-6,0.031660555704617524,0.022650891387449457,-0.012734956115704216,0.07605606752493926,0.16218789240311482,True,-1,0.95,hex,PanelOLS hex+date FE event-study
utlz_within_25,workmode_only,-5,0.0006160119828255607,0.024164905101840623,-0.046746950990020145,0.04797897495567127,0.9796625771127236,True,-1,0.95,hex,PanelOLS hex+date FE event-study
utlz_within_25,workmode_only,-4,0.013116093824630012,0.024804785070619444,-0.035501027239903324,0.06173321488916335,0.5969643875752961,True,-1,0.95,hex,PanelOLS hex+date FE event-study
utlz_within_25,workmode_only,-3,0.019867947241303488,0.02326339291388097,-0.02572806120811437,0.06546395569072135,0.39308315141348116,True,-1,0.95,hex,PanelOLS hex+date FE event-study
utlz_within_25,workmode_only,-2,0.03394537497064035,0.023786325594520628,-0.012675576100569158,0.08056632604184986,0.15355553939928046,True,-1,0.95,hex,PanelOLS hex+date FE event-study
utlz_within_25,workmode_only,0,0.026711742214875923,0.025093703530063637,-0.022471656028862416,0.07589514045861426,0.28711414636978505,True,-1,0.95,hex,PanelOLS hex+date FE event-study
utlz_within_25,workmode_only,1,0.026247649807601345,0.024756162158398633,-0.022274170854077485,0.07476947046928017,0.289034952514579,True,-1,0.95,hex,PanelOLS hex+date FE event-study
utlz_within_25,workmode_only,2,-0.018153043101037762,0.02560603516804205,-0.06834060603307611,0.032034519831000585,0.4783659074120208,True,-1,0.95,hex,PanelOLS hex+date FE event-study
utlz_within_25,workmode_only,3,0.015257449363421318,0.024055705920006425,-0.03189148434739827,0.06240638307424091,0.5259160512640366,True,-1,0.95,hex,PanelOLS hex+date FE event-study
